"anime_id","title","type","source","episodes","status","rating","score","scored_by","rank","popularity","members","favorites","premiered","broadcast","producer","producer_count","licensor","licensor_count","studio","studio_count","genre","genre_count","duration_min","aired_from_year"
11013,"Inu x Boku SS","TV","Manga",12,"Finished Airing","PG-13 - Teens 13 or older",7.63,139250,1274,231,283882,2809,"Winter 2012","Fridays at Unknown","Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",5,"Sentai Filmworks",1,"David Production",1,"Comedy, Supernatural, Romance, Shounen",4,24,2012
2104,"Seto no Hanayome","TV","Manga",26,"Finished Airing","PG-13 - Teens 13 or older",7.89,91206,727,366,204003,2579,"Spring 2007","Unknown","TV Tokyo, AIC, Square Enix, Sotsu",4,"Funimation",1,"Gonzo",1,"Comedy, Parody, Romance, School, Shounen",5,24,2007
5262,"Shugo Chara!! Doki","TV","Manga",51,"Finished Airing","PG - Children",7.55,37129,1508,1173,70127,802,"Fall 2008","Unknown","TV Tokyo, Sotsu",2,"",0,"Satelight",1,"Comedy, Magic, School, Shoujo",4,24,2008
721,"Princess Tutu","TV","Original",38,"Finished Airing","PG-13 - Teens 13 or older",8.21,36501,307,916,93312,3344,"Summer 2002","Fridays at Unknown","Memory-Tech, GANSIS, Marvelous AQL",3,"ADV Films",1,"Hal Film Maker",1,"Comedy, Drama, Magic, Romance, Fantasy",5,16,2002
12365,"Bakuman. 3rd Season","TV","Manga",25,"Finished Airing","PG-13 - Teens 13 or older",8.67,107767,50,426,182765,2082,"Fall 2012","Unknown","NHK, Shueisha",2,"",0,"J.C.Staff",1,"Comedy, Drama, Romance, Shounen",4,24,2012
6586,"Yume-iro Pâtissière","TV","Manga",50,"Finished Airing","G - All Ages",8.03,21618,526,1630,45625,826,"Fall 2009","Unknown","Yomiuri Telecasting, DAX Production, Shueisha",3,"",0,"Studio Pierrot, Studio Hibari",2,"Kids, School, Shoujo",3,24,2009
178,"Ultra Maniac","TV","Manga",26,"Finished Airing","G - All Ages",7.26,9663,2594,2490,22778,122,"Spring 2003","Tuesdays at 22:00 (JST)","WAO World, Studio Jack",2,"Discotek Media, Geneon Entertainment USA",2,"Production Reed",1,"Magic, Comedy, Romance, School, Shoujo",5,24,2003
2787,"Shakugan no Shana II (Second)","TV","Light novel",24,"Finished Airing","PG-13 - Teens 13 or older",7.72,126085,1066,332,220591,1075,"Fall 2007","Fridays at 01:25 (JST)","Geneon Universal Entertainment, ASCII Media Works",2,"Funimation",1,"J.C.Staff",1,"Action, Drama, Fantasy, Romance, School, Supernatural",6,24,2007
4477,"Nodame Cantabile: Paris-hen","TV","Manga",11,"Finished Airing","PG-13 - Teens 13 or older",8.24,53908,281,988,85660,282,"Fall 2008","Fridays at 00:45 (JST)","Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",3,"",0,"J.C.Staff",1,"Music, Slice of Life, Comedy, Romance, Josei",5,23,2008
853,"Ouran Koukou Host Club","TV","Manga",26,"Finished Airing","PG-13 - Teens 13 or older",8.34,335137,205,69,538843,24072,"Spring 2006","Wednesdays at 00:50 (JST)","VAP, Hakusensha, Nippon Television Network",3,"Funimation",1,"Bones",1,"Comedy, Harem, Romance, School, Shoujo",5,23,2006
4814,"Junjou Romantica 2","TV","Manga",12,"Finished Airing","PG-13 - Teens 13 or older",8.15,66565,374,799,108186,1123,"Fall 2008","Unknown","Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",4,"Nozomi Entertainment",1,"Studio Deen",1,"Comedy, Drama, Romance, Shounen Ai",4,24,2008
7054,"Kaichou wa Maid-sama!","TV","Manga",26,"Finished Airing","PG-13 - Teens 13 or older",8.2,315130,314,71,531292,14436,"Spring 2010","Fridays at 01:55 (JST)","Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",4,"Sentai Filmworks",1,"J.C.Staff",1,"Comedy, Romance, School, Shoujo",4,24,2010
